0100682	秋田県	男鹿市	北浦表町
0100683	秋田県	男鹿市	北浦北浦
0100684	秋田県	男鹿市	北浦安全寺
0100685	秋田県	男鹿市	北浦真山
0100686	秋田県	男鹿市	北浦西水口
0100687	秋田県	男鹿市	北浦湯本
0100688	秋田県	男鹿市	北浦野村
0100802	秋田県	秋田市	外旭川
0100803	秋田県	秋田市	外旭川八柳
0100804	秋田県	秋田市	外旭川八幡田
0100811	秋田県	秋田市	泉釜ノ町
0100812	秋田県	秋田市	泉三嶽根
0100813	秋田県	秋田市	泉一ノ坪
0100814	秋田県	秋田市	泉東町
0100815	秋田県	秋田市	泉馬場
0100816	秋田県	秋田市	泉
0100817	秋田県	秋田市	泉菅野
0100821	秋田県	秋田市	濁川
0100822	秋田県	秋田市	添川
0100823	秋田県	秋田市	山内
0100824	秋田県	秋田市	仁別
0100825	秋田県	秋田市	柳田
0100826	秋田県	秋田市	新藤田
0100831	秋田県	秋田市	旭川清澄町
0100832	秋田県	秋田市	旭川新藤田西町
0100833	秋田県	秋田市	旭川新藤田東町
0100834	秋田県	秋田市	旭川南町
0100841	秋田県	秋田市	手形山西町
0100842	秋田県	秋田市	手形山北町
0100843	秋田県	秋田市	手形山東町
0100844	秋田県	秋田市	手形山中町
0100845	秋田県	秋田市	手形山南町
0100851	秋田県	秋田市	手形
0100852	秋田県	秋田市	手形学園町
0100853	秋田県	秋田市	蛇野
0100854	秋田県	秋田市	手形山崎町
0100861	秋田県	秋田市	手形からみでん
0100862	秋田県	秋田市	手形田中
0100863	秋田県	秋田市	手形休下町
0100864	秋田県	秋田市	手形住吉町
0100865	秋田県	秋田市	手形新栄町
0100871	秋田県	秋田市	千秋中島町
0100872	秋田県	秋田市	千秋北の丸
0100873	秋田県	秋田市	千秋城下町
0100874	秋田県	秋田市	千秋久保田町
0100875	秋田県	秋田市	千秋明徳町
0100876	秋田県	秋田市	千秋公園
0100877	秋田県	秋田市	千秋矢留町
0100901	秋田県	秋田市	保戸野桜町
0100902	秋田県	秋田市	保戸野金砂町
0100903	秋田県	秋田市	保戸野八丁
0100904	秋田県	秋田市	保戸野原の町
0100905	秋田県	秋田市	保戸野中町
0100911	秋田県	秋田市	保戸野すわ町
0100912	秋田県	秋田市	保戸野通町
0100913	秋田県	秋田市	保戸野鉄砲町
0100914	秋田県	秋田市	保戸野千代田町
0100915	秋田県	秋田市	保戸野
0100916	秋田県	秋田市	泉北
0100917	秋田県	秋田市	泉中央
0100918	秋田県	秋田市	泉南
0100921	秋田県	秋田市	大町
